groupid,size,id
SHI*,1,1
GURE,1,1
PTR*,1,1
ACH*,1,1
CGA,1,1
ITP,1,1
TANH,1,1
HUDI,1,1
TCOM,1,1
NCTY,1,1
CREG,1,1
GRNQ,1,1
TC,1,1
UXIN,1,1
PDD,1,1
BAOS,1,1
CPOP§,1,1
UTSI,1,1
CAAS,1,1
CBAT,1,1
FFHL,1,1
KNDI,1,1
AEHL,1,1
NISN,1,1
ZKIN,1,1
RETO,1,1
GTEC§,1,1
NIU,1,1
DOGZ,1,1
KXIN,1,1
VIOT,1,1
NIO,1,1
HAPP,1,1
LI,1,1
EVK,1,1
SEED,1,1
PLAG,1,1
PME,1,1
LLL (prev.KBSF),1,1
BTB (prev. MYT),1,1
SISI (prev.TYHT),1,1
PETZ,1,1
FAMI,1,1
BTOG (prev. PLIN),1,1
YSG,1,1
DDL§,1,1
MF§,1,1
RLX,1,1
EDU,1,1
AACG,1,1
HTHT,1,1
TAL,1,1
FENG,1,1
VIPS,1,1
LITB,1,1
TOUR,1,1
TEDU,1,1
JD,1,1
HLG,1,1
BZUN,1,1
COE,1,1
YUMC,1,1
HUSN,1,1
FEDU,1,1
SECO,1,1
RYB,1,1
BEDU,1,1
REDU,1,1
TKAT,1,1
AMBO,1,1
CANG,1,1
CSCW,1,1
MOGU,1,1
NEW,1,1
GHG,1,1
STG,1,1
ONE,1,1
MSC,1,1
METX,1,1
WAFU,1,1
ATIF§,1,1
MOHO,1,1
DAO,1,1
YJ,1,1
GOTU (prev. GSX),1,1
CLEU,1,1
ZCMD,1,1
EDTK,1,1
OCG,1,1
YGMZ,1,1
WNW,1,1
LXEH,1,1
BQ,1,1
IH,1,1
YQ,1,1
DADA,1,1
MNSO,1,1
BON§,1,1
EJH§,1,1
JZXN§,1,1
ZME§,1,1
KUKE,1,1
OG§,1,1
FHS,1,1
EM,1,1
RERE§,1,1
HNP*,1,1
SNP*,1,1
RCON,1,1
CNEY,1,1
LFC*,1,1
HGSH,1,1
FANH,1,1
DXF,1,1
NOAH,1,1
CCNC,1,1
YRD,1,1
JP,1,1
LYL,1,1
SOS,1,1
LX,1,1
JT,1,1
QD,1,1
FINV,1,1
BTBT,1,1
AIHS,1,1
PHCF,1,1
WEI,1,1
CNF,1,1
QFIN,1,1
XYF,1,1
MDJH,1,1
PUYI,1,1
JFIN,1,1
JFU,1,1
TIGR,1,1
CIH,1,1
BRLI,1,1
GRCY,1,1
HUIZ,1,1
QNGY (prev. CCAC),1,1
LU,1,1
TIRX,1,1
SNTG§,1,1
HYW,1,1
LAAA§,1,1
SPK§,1,1
WDH§,1,1
BIMI,1,1
CO,1,1
CPHI,1,1
CJJD,1,1
HCM,1,1
BGNE,1,1
AHG (prev. HX),1,1
ZLAB,1,1
YI,1,1
SXTC,1,1
AIH,1,1
ANPC,1,1
IMAB,1,1
GTH,1,2
BNR,1,2
LEGN,1,2
QLI,1,2
UPC,1,2
ADAG,1,2
GRCL,1,2
CNTB,1,2
LIAN§,1,2
MHUA§,1,2
NTP,1,2
XIN,1,2
LEJU,1,2
DUO,1,2
BEKE,1,2
UK,1,2
QK,1,2
SOHU,1,2
NTES,1,2
JOBS,1,2
FTFT,1,2
BIDU,1,2
CSIQ,1,2
ANTE,1,2
TAOP,1,2
LKCO,1,2
TROO (prev. SGOC),1,2
JKS,1,2
DQ,1,2
SFUN,1,2
CNET,1,2
VNET,1,2
RENN,1,2
YY,1,2
GLG,1,2
BTCM,1,2
ATHM,1,2
XNET,1,2
CMCM,1,2
MOMO,1,2
WB,1,2
BABA,1,2
MFH,1,2
BRQS,1,2
SPI,1,2
MOXC,1,2
GDS,1,2
ACMR,1,2
DTSS,1,2
CLPS,1,2
PT,1,2
CTK,1,2
JG,1,2
QTT,1,2
ZEPP,1,2
HUYA,1,2
BILI,1,2
TME,1,2
IQ,1,2
LAIX,1,2
MTC,1,2
BHAT,1,2
PBTS,1,2
KRKR,1,2
MKD,1,2
CAN,1,2
SY,1,2
OCFT,1,2
DOYU,1,2
SJ,1,2
HOLI,1,2
WIMI,1,2
QH,1,2
LIZI,1,2
BLCT,1,2
YALA,1,2
API,1,2
KC,1,2
CD,1,2
XPEV,1,2
GSMG,1,2
UTME,1,2
IFBD,1,2
JWEL,1,2
SDH,1,2
RAAS,1,2
ZH,1,2
BZ§,1,2
TUYA,1,2
DIDI§,1,2
ZNH*,1,2
CEA*,1,2
ZTO,1,2
BEST,1,2
EH,1,2
EZGO,1,2
YMM§,1,2
